City,Category Name,Grade,Avg Growth Rate
SANBORN,CREAM LIQUEURS,low,0.40369681293364773
SWISHER,AMERICAN VODKAS,low,0.40348804945250083
AMANA,FLAVORED RUM,low,0.40340048897328673
NORTH LIBERTY,MIXTO TEQUILA,high,0.403305822002856
SUTHERLAND,AMERICAN DRY GINS,low,0.4032865997282671
COUNCIL BLUFFS,AMERICAN VODKAS,mid,0.40319381183382963
CLARENCE,FLAVORED RUM,low,0.40299161790965854
OELWEIN,IMPORTED SCHNAPPS,low,0.4023416103598086
DEXTER,SPICED RUM,high,0.4022362526460886
BEDFORD,IMPORTED FLAVORED VODKA,low,0.4022171210546568
MILFORD,STRAIGHT BOURBON WHISKIES,high,0.4021061862599709
MADRID,STRAIGHT RYE WHISKIES,low,0.4020628494312705
DYERSVILLE,TENNESSEE WHISKIES,high,0.4019119663597341
TIPTON,STRAIGHT RYE WHISKIES,low,0.40190896316635305
BOONE,IMPORTED BRANDIES,low,0.4018939879842995
ROBINS,FLAVORED RUM,high,0.40188425302826386
BONDURANT,CANADIAN WHISKIES,high,0.40181937137105733
MARCUS,TENNESSEE WHISKIES,low,0.4017533447170327
ELKADER,AMERICAN VODKAS,high,0.40146546220118356
CENTER POINT,IMPORTED SCHNAPPS,high,0.4014113817526519
DURANT,SCOTCH WHISKIES,low,0.40134541914220606
AMANA,MIXTO TEQUILA,low,0.40133358179715795
GRANGER,STRAIGHT BOURBON WHISKIES,low,0.40117062961039923
COLO,IRISH WHISKIES,low,0.4011704838275061
BELLE PLAINE,AGED DARK RUM,low,0.4011296823492829
KEOKUK,IMPORTED SCHNAPPS,high,0.400959281804565
WEBSTER CITY,SINGLE MALT SCOTCH,mid,0.40088035668234645
SUTHERLAND,IMPORTED VODKAS,low,0.40077561695630676
BRITT,100% AGAVE TEQUILA,low,0.4006036235521753
HUMBOLDT,TENNESSEE WHISKIES,mid,0.4005602240896359
MOUNT PLEASANT,COCKTAILS/RTD,low,0.4004988359127173
NEVADA,COCKTAILS/RTD,low,0.40044303733720876
CLEARLAKE,CREAM LIQUEURS,high,0.4003735777295055
WEST LIBERTY,STRAIGHT BOURBON WHISKIES,low,0.40036602723598724
POSTVILLE,TENNESSEE WHISKIES,high,0.4002943340691687
ALBION,WHITE RUM,low,0.4002088829237438
LARCHWOOD,IMPORTED BRANDIES,low,0.40019931961944716
ADAIR,AMERICAN VODKAS,high,0.40007483912490865
GRUNDY CENTER,STRAIGHT BOURBON WHISKIES,high,0.40003703703703714
ELLSWORTH,MIXTO TEQUILA,high,0.4
NEW HARTFORD,SPICED RUM,high,0.39999999999999997
JEWELL,AMERICAN FLAVORED VODKA,high,0.3999999999999999
LARCHWOOD,SPICED RUM,high,0.3999999999999999
URBANA,AMERICAN FLAVORED VODKA,low,0.39996790729125203
CRESTON,100% AGAVE TEQUILA,low,0.39994692328176545
WEBSTER CITY,SPECIAL ORDER ITEMS,high,0.39992001599680066
SIOUX CENTER,TEMPORARY & SPECIALTY PACKAGES,low,0.39991536896298946
MANLY,100% AGAVE TEQUILA,low,0.39972001178897726
LE GRAND,IMPORTED DRY GINS,low,0.3994285283401659
NORWAY,SPICED RUM,low,0.39929254308420536
AVOCA,AMERICAN BRANDIES,low,0.39907800632316803
ANKENY,AGED DARK RUM,low,0.3988564524070572
LE MARS,AMERICAN SCHNAPPS,high,0.3986592013427635
ELY,MIXTO TEQUILA,low,0.39863694804042876
LAMONI,CANADIAN WHISKIES,high,0.3986223060668442
CEDAR RAPIDS,SCOTCH WHISKIES,high,0.3985997264797931
NICHOLS,WHISKEY LIQUEUR,low,0.39845212964682
HUDSON,TENNESSEE WHISKIES,low,0.3984086071616446
STORM LAKE,100% AGAVE TEQUILA,low,0.3983974904644961
URBANDALE,IMPORTED CORDIALS & LIQUEUR,high,0.3982155269779863
MUSCATINE,AMERICAN VODKAS,high,0.3980984418896305
DAYTON,IRISH WHISKIES,low,0.3980839271660697
HOLSTEIN,IMPORTED BRANDIES,low,0.39806612238484557
LARCHWOOD,SINGLE MALT SCOTCH,low,0.3979238488618775
EVANSDALE,GOLD RUM,low,0.39761707076846503
DELMAR,IMPORTED CORDIALS & LIQUEUR,low,0.3974201474201473
FLOYD,AMERICAN VODKAS,low,0.39741659356047965
BONDURANT,FLAVORED RUM,low,0.39735142879258417
OELWEIN,IMPORTED DRY GINS,low,0.397308926815832
NASHUA,TENNESSEE WHISKIES,low,0.39719895125123283
EVANSDALE,COCKTAILS/RTD,low,0.39693756152354803
WINTHROP,AMERICAN DRY GINS,low,0.3968785309469936
FAIRFAX,TENNESSEE WHISKIES,low,0.3968653745162543
FOREST CITY,SINGLE MALT SCOTCH,low,0.3968460295545495
FAIRFIELD,MIXTO TEQUILA,high,0.3967432950191571
CLARINDA,BLENDED WHISKIES,high,0.3967353065340775
ELY,BLENDED WHISKIES,low,0.39667649354451573
HULL,AMERICAN DRY GINS,low,0.39634631568317225
SIGOURNEY,IRISH WHISKIES,low,0.39623608041844854
SHELDON,AMERICAN BRANDIES,high,0.3961564564810765
NEOLA,STRAIGHT BOURBON WHISKIES,high,0.3960428849902533
EAGLE GROVE,IMPORTED SCHNAPPS,low,0.39599081572821077
CORRECTIONVILLE,TENNESSEE WHISKIES,high,0.3959056028592452
AVOCA,IRISH WHISKIES,low,0.3957768268002983
CORYDON,SPICED RUM,high,0.39558129558129546
HOLSTEIN,NEUTRAL GRAIN SPIRITS,low,0.3955011652073474
HUDSON,CREAM LIQUEURS,low,0.3953706132281176
CLIVE,AMERICAN BRANDIES,high,0.3953215516149184
WEST DES MOINES,FLAVORED RUM,high,0.39528525794700453
JEFFERSON,AMERICAN CORDIALS & LIQUEUR,low,0.39524424324540103
COLFAX,IMPORTED FLAVORED VODKA,low,0.3951735143270372
WATERLOO,TEMPORARY & SPECIALTY PACKAGES,low,0.395170883429975
WEST BEND,MIXTO TEQUILA,low,0.3951469377060297
HUBBARD,STRAIGHT RYE WHISKIES,low,0.3950738543429893
JESUP,WHITE RUM,low,0.3949354005167959
OTTUMWA,FLAVORED GIN,low,0.39492821886271096
DYERSVILLE,STRAIGHT RYE WHISKIES,low,0.3949129407836307
OSCEOLA,AGED DARK RUM,low,0.39485414665070184
POLK CITY,CREAM LIQUEURS,low,0.39474966873558853
AVOCA,CREAM LIQUEURS,low,0.39448517249432874
KINGSLEY,BLENDED WHISKIES,low,0.3942764760891668
FORT DODGE,AMERICAN VODKAS,high,0.3942672745415881
OSKALOOSA,WHISKEY LIQUEUR,high,0.3942089736386845
IOWA FALLS,WHISKEY LIQUEUR,high,0.3941352930143149
MITCHELLVILLE,AMERICAN VODKAS,low,0.3941165736393592
WAUKON,TEMPORARY & SPECIALTY PACKAGES,high,0.3941131955231607
KNOXVILLE,IRISH WHISKIES,low,0.39409480524957713
CENTERVILLE,GOLD RUM,low,0.39403701949801234
BOONE,SPICED RUM,high,0.39400423594347495
GLENWOOD,IRISH WHISKIES,low,0.39392766259758955
WAUKEE,TENNESSEE WHISKIES,high,0.39365464706644854
MANLY,STRAIGHT BOURBON WHISKIES,low,0.39362033720169376
BURLINGTON,100% AGAVE TEQUILA,low,0.3935990134296213
ALBERT CITY,AMERICAN FLAVORED VODKA,low,0.3934783229199211
MARION,AGED DARK RUM,low,0.3934396677110911
LAKE PARK,FLAVORED RUM,low,0.39338636289747114
WILLIAMSBURG,AMERICAN DRY GINS,low,0.39338407272423304
CLIVE,FLAVORED RUM,high,0.39315127068701167
ROCKWELL,IOWA SPIRITS MANUFACTURERS,low,0.3930724583411347
HAMPTON,STRAIGHT RYE WHISKIES,low,0.393017129391853
ADEL,CANADIAN WHISKIES,high,0.392914121473341
MILFORD,MIXTO TEQUILA,high,0.39285714285714285
SHUEYVILLE,STRAIGHT BOURBON WHISKIES,low,0.39264136308354375
GRINNELL,TEMPORARY & SPECIALTY PACKAGES,low,0.39259660166614707
ROLAND,SPICED RUM,low,0.3924021925001126
NEVADA,100% AGAVE TEQUILA,high,0.39238229295782373
GRIMES,IMPORTED BRANDIES,low,0.3923545508011577
STANWOOD,WHISKEY LIQUEUR,low,0.39224229849283887
OTTUMWA,SCOTCH WHISKIES,mid,0.3921524002563997
CLARKSVILLE,BLENDED WHISKIES,low,0.39210569850627414
ADEL,IMPORTED DRY GINS,low,0.39189199847088313
WEST BRANCH,IMPORTED DRY GINS,low,0.3918302772135109
CLEARLAKE,AMERICAN VODKAS,high,0.3918226374050786
BROOKLYN,100% AGAVE TEQUILA,low,0.39176682247956085
KEOSAUQUA,WHISKEY LIQUEUR,high,0.3915934622014059
MOUNT VERNON,TEMPORARY & SPECIALTY PACKAGES,mid,0.3915255419465473
HARLAN,SINGLE MALT SCOTCH,mid,0.39146881160806196
KELLOGG,COFFEE LIQUEURS,low,0.39125956507266424
NEW LONDON,TENNESSEE WHISKIES,high,0.39109639440765276
TIFFIN,AMERICAN VODKAS,low,0.39084836804044865
WEST LIBERTY,WHITE RUM,low,0.3907294480289008
KEOSAUQUA,IOWA SPIRITS MANUFACTURERS,low,0.3906302324023844
CORWITH,STRAIGHT BOURBON WHISKIES,low,0.3905055450231319
LARCHWOOD,IRISH WHISKIES,low,0.39049894602145335
FARMINGTON,FLAVORED RUM,low,0.39042111506524324
