_c0,Store Number,Recency,Frequency,Monetary,r_seg,f_seg,m_seg,RFMScore,prediction,Store,Report Date,Name,Store Status,Address,State,Zip Code,latitude,longitude,City
41,4594,0,1369,40626.13,1,1,3,113,1,4594,2022-11-01,QUIK TRIP #554 / SW 63RD DM,A,901 SW 63RD ST,IA,50312,41.569715,-93.703165,DES MOINES
42,4464,3,920,99969.21,1,2,2,122,1,4464,2022-11-01,PERFECT VALUE LIQUOR MART,A,5B  LINCOLN AVE,IA,52748,41.695152,-90.547912,ELDRIDGE
43,5986,40,207,21338.62,4,4,4,444,1,5986,2022-11-01,CASEY'S GENERAL STORE #2366 / OSKALOOSA,A,1809 9TH AVE E,IA,52577,41.287177,-92.623028,OSKALOOSA
44,6217,6,1298,92343.11,3,1,2,312,1,6217,2022-11-01,TODD'S SHELL / ROCK RAPIDS,A,209 SOUTH UNION STREET,IA,51246,43.430056,-96.175502,ROCK RAPIDS
45,4569,0,688,70127.66,1,2,2,122,1,4569,2022-11-01,CAR-GO-EXPRESS / SUTHERLAND,A,202 WEST SOUTHERN ST,IA,51058,42.968051,-95.499741,SUTHERLAND
46,4818,3,784,82224.31,1,2,2,122,1,4818,2022-11-01,DECORAH MART,A,"303, COLLEGE DR",IA,52101,43.307662,-91.796988,DECORAH
47,2644,3,4778,1214260.56,1,1,1,111,0,2644,2022-11-01,HY-VEE FORT DODGE WINE AND SPIRITS,A,1511 2ND AVE NORTH,IA,50501,42.508343,-94.177192,FORT DODGE
48,5434,3,1872,117541.88,1,1,2,112,1,5434,2022-11-01,"MK MINIMART, INC",A,101 E MT. PLEASANT STREET,IA,52655,40.826019,-91.156304,WEST BURLINGTON
49,5291,115,305,43705.6,4,3,3,433,1,5291,2022-11-01,JUMPSTART,I,"109, LOCUST ST",IA,51510,41.285055,-95.928649,CARTER LAKE
50,4782,3,148,25432.36,1,4,4,144,1,4782,2022-11-01,CASEY'S GENERAL STORE #2529 / LAMONI,A,406 E MAIN ST,IA,50140,40.62366,-93.92909,LAMONI
51,4417,10,498,38564.32,3,3,3,333,1,4417,2022-11-01,KUM & GO #76 / ADAIR,A,109 S 5TH ST,IA,50002,,,ADAIR
52,4980,6,760,47055.56,3,2,3,323,1,4980,2022-11-01,PRONTO BP,A,7305 LAPORTE RD.,IA,50702,42.409095,-92.264665,WASHBURN
53,6264,4,1315,238003.22,2,1,1,211,1,6264,2022-11-01,MLK LIQUOR LLC / DES MOINES,A,3424 MARTIN LUTHER KING JUNIOR PARKWAY,IA,50310,,,DES MOINES
54,5071,0,1654,69240.04,1,1,2,112,1,5071,2022-11-01,JEFF'S MARKET / DURANT,A,408 6TH AVE,IA,52747,41.600606,-90.911744,DURANT
55,5543,3,148,22613.09,1,4,4,144,1,5543,2022-11-01,CASEY'S GENERAL STORE #2541 / BEDFORD,A,608 MADISON,IA,50833,40.66762,-94.721407,BEDFORD
56,4736,38,113,22339.29,4,4,4,444,1,4736,2022-11-01,WALGREENS #03876 / MARION,A,1225 7TH AVE,IA,52302,42.033295,-91.596313,MARION
57,6278,4,221,88934.27,2,4,2,242,1,6278,2022-11-01,ADVENTURELAND / ALTOONA,A,305 34TH AVE NW,IA,50009,,,ALTOONA
58,4719,35,148,25321.26,4,4,4,444,1,4719,2022-11-01,WALGREENS #06677 / WEST DES MOINES,A,4900 MILLS CIVIC PKWY,IA,50265,41.559127,-93.769885,WEST DES MOINES
59,2200,0,2665,234445.21,1,1,1,111,1,2200,2022-11-01,SAC LIQUOR STORE,A,619 E MAIN ST,IA,50583,42.421341,-94.974011,SAC CITY
60,6209,3,5750,1158890.07,1,1,1,111,0,6209,2022-11-01,HY-VEE / GRIMES,A,351 NORTHEAST GATEWAY DRIVE,IA,50111,41.68625,-93.779961,GRIMES
61,2718,3,454,87735.95,1,3,2,132,1,2718,2022-11-01,HY-VEE WAUKON DOLLAR FRESH,A,819 11TH AVE SW,IA,52172,43.256597,-91.487004,WAUKON
62,4934,3,365,50816.91,1,3,3,133,1,4934,2022-11-01,CASEY'S GENERAL STORE #2811 / SPRINGVILLE,A,605 6TH ST S,IA,52336,42.050954,-91.443745,SPRINGVILLE
63,6212,14,510,58515.52,4,3,2,432,1,6212,2022-11-01,HAMPTON CROSSROADS / HAMPTON,I,4 4TH STREET SOUTHEAST,IA,50441,42.741526,-93.202489,HAMPTON
64,3656,5,992,228484.92,2,2,1,221,1,3656,2022-11-01,TARGET STORE T-1767 / ANKENY,A,2135 SE DELAWARE AVE,IA,50021,41.708563,-93.581201,ANKENY
65,4315,5,327,68759.92,2,3,2,232,1,4315,2022-11-01,FAREWAY STORES #554 / WASHINGTON,A,301 NORTH MARION AVE,IA,52353,41.301967,-91.692985,WASHINGTON
66,5321,42,112,14397.24,4,4,4,444,1,5321,2022-11-01,CASEY'S GENERAL STORE # 3513/ BELLE PLAINE,A,606 13TH ST,IA,52208,41.897056,-92.279383,BELLE PLAINE
67,4685,7,103,8184.43,3,4,4,344,1,4685,2022-11-01,KWIK STOP FOOD MART,A,2360 CENTRAL,IA,52001,42.515766,-90.672718,DUBUQUE
68,5498,27,192,9935.41,4,4,4,444,1,5498,2022-11-01,6 CORNERS GAS & GRUB,A,300 EAST ST,IA,50606,42.745695,-91.666012,ARLINGTON
69,2605,5,4162,785628.11,2,1,1,211,0,2605,2022-11-01,HY-VEE DRUGSTORE #5 / CEDAR RAPIDS,A,2001 BLAIRS FERRY RD NE,IA,52402,42.034799,-91.668919,CEDAR RAPIDS
70,6091,6,601,120855.87,3,2,2,322,1,6091,2022-11-01,HAWKEYE LIQUOR & TOBACCO / IOWA CITY,A,601 HOLLYWOOD BLVD STE 1,IA,52240,41.643807,-91.52741,IOWA CITY
71,5855,27,96,15305.62,4,4,4,444,1,5855,2022-11-01,TAYLOR QUIK PIK - HARLAN,A,2111 23RD STREET,IA,51537,41.647276,-95.339634,HARLAN
72,2628,0,944,117949.93,1,2,2,122,1,2628,2022-11-01,HY-VEE FOOD STORE / ELDORA,A,1616 EDGINGTON AVE,IA,50627,42.360631,-93.103765,ELDORA
73,5079,34,205,24387.51,4,4,4,444,1,5079,2022-11-01,CASEY'S GENERAL STORE #2489 / DENISO,A,1608 4TH AVE S,IA,51442,42.012395,-95.349198,DENISON
