Store Number,Recency,Frequency,Monetary,r_seg,f_seg,m_seg,RFMScore,prediction,Store,Report Date,Name,Store Status,Address,State,Zip Code,longitude,latitude,City
4770,48,145,21627.58,4,4,4,444,2,4770,2022-11-01,CASEY'S GENERAL STORE #3080 / HUDSON,A,"354, E ELDORA RD",IA,50643,-92.449412,42.409554,HUDSON
4153,6,1504,133813.38,3,1,2,312,0,4153,2022-11-01,FAREWAY STORES #067 / EVANSDALE,A,215 S EVANS RD,IA,50707,-92.287834,42.475631,EVANSDALE
5293,5,4154,878115.92,2,1,1,211,3,5293,2022-11-01,THE BOONEDOCKS,A,"228, N HWY 71",IA,51331,-95.125928,43.370941,ARNOLDS PARK
3562,3,2675,439088.09,1,1,1,111,0,3562,2022-11-01,WAL-MART 0797 / W BURLINGTON,A,324 WEST AGENCY RD,IA,52655,-91.158407,40.813125,WEST BURLINGTON
5868,24,854,80091.04,4,2,2,422,0,5868,2022-11-01,BROTHERS MARKET / BLOOMFIELD,A,207 E LOCUST ST,IA,52537,-92.412846,40.752691,BLOOMFIELD
4753,10,558,43363.6,3,3,3,333,0,4753,2022-11-01,CASEY'S GENERAL STORE #2521 / ADAIR,A,110 S 5TH ST,IA,50002,,,ADAIR
4155,3,608,160842.44,1,2,1,121,0,4155,2022-11-01,FAREWAY STORES #949 / MARION,A,3300 10TH AVE,IA,52302,-91.576523,42.036023,MARION
4027,3,1123,179658.36,1,2,1,121,0,4027,2022-11-01,WAL-MART 1621 / CENTERVILLE,A,23148 HWY 5,IA,52544,-92.867859,40.709212,CENTERVILLE
5790,34,364,52951.81,4,3,3,433,0,5790,2022-11-01,CASEY'S GENERAL STORE #1166 / HULL,A,612 DIVISION ST,IA,51239,-96.137604,43.18538,HULL
6148,6,1136,140939.94,3,2,2,322,0,6148,2022-11-01,BEER ON FLOYD / SIOUX CITY,A,3132 FLOYD BLVD,IA,51108,-96.372185,42.531448,SIOUX CITY
