index,Store Number,Recency,Frequency,Monetary,r_seg,f_seg,m_seg,RFMScore,prediction
937,5879,11,223,29106.08,3,4,4,344,0
938,6239,6,1095,105413.1,3,2,2,322,0
939,4711,105,85,11700.89,4,4,4,444,2
940,9002,5,42,116847.12,2,4,2,242,0
941,6332,7,138,16085.29,3,4,4,344,0
942,2582,4,4695,623855.73,2,1,1,211,3
943,5197,6,1829,80338.75,3,1,2,312,0
944,5848,6,257,15299.85,3,4,4,344,0
945,5931,6,398,44377.94,3,3,3,333,0
946,5983,3,115,15213.54,1,4,4,144,0
947,9049,5,7,12263.4,2,4,4,244,0
948,4739,18,82,17239.14,4,4,4,444,0
949,3390,5,5218,1481016.59,2,1,1,211,3
950,6201,0,1320,177674.23,1,1,1,111,0
951,2688,10,212,23330.7,3,4,4,344,0
952,5803,4,964,79628.4,2,2,2,222,0
953,4513,3,728,79820.29,1,2,2,122,0
954,4780,12,277,47991.78,4,3,3,433,0
955,4788,49,120,23341.5,4,4,4,444,2
956,6220,4,391,55471.39,2,3,3,233,0
957,5420,0,344,35953.27,1,3,3,133,0
958,5506,7,277,25325.79,3,3,4,334,0
959,4945,224,288,10682.13,4,3,4,434,1
960,2627,4,2023,330495.91,2,1,1,211,0
961,5623,3,1872,298651.25,1,1,1,111,0
962,6129,4,3680,261065.93,2,1,1,211,3
963,4380,0,341,28315.95,1,3,4,134,0
964,5557,3,456,47235.42,1,3,3,133,0
965,5118,0,178,16863.49,1,4,4,144,0
966,6114,26,65,8014.46,4,4,4,444,0
967,6011,4,290,39622.75,2,3,3,233,0
968,2579,6,1424,293385.68,3,1,1,311,0
969,6108,3,2202,264407.73,1,1,1,111,0
970,2851,45,73,13510.08,4,4,4,444,2
971,4605,10,726,47587.36,3,2,3,323,0
972,5184,0,815,60923.13,1,2,2,122,0
973,5726,3,2203,106720.83,1,1,2,112,0
974,4285,6,1277,207887.83,3,1,1,311,0
975,4202,4,976,181366.49,2,2,1,221,0
976,5295,6,382,56053.08,3,3,3,333,0
977,4999,0,887,44109.32,1,2,3,123,0
978,5055,4,186,21497.44,2,4,4,244,0
979,6061,0,1027,103821.54,1,2,2,122,0
980,4735,53,120,24453.18,4,4,4,444,2
981,6169,117,591,43630.32,4,2,3,423,2
982,5542,21,363,50745.43,4,3,3,433,0
983,6211,6,46,5860.59,3,4,4,344,0
984,6236,0,7346,383143.99,1,1,1,111,3
985,5244,6,2934,398031.06,3,1,1,311,0
986,5805,0,228,28865.43,1,4,4,144,0
987,4933,3,158,15149.82,1,4,4,144,0
988,4450,3,1241,55489.23,1,1,3,113,0
989,4190,0,1457,170130.83,1,1,1,111,0
990,5268,3,1028,59751.31,1,2,2,122,0
991,3465,3,1449,138878.71,1,1,2,112,0
992,4505,4,1682,64355.36,2,1,2,212,0
993,5762,5,397,36068.87,2,3,3,233,0
994,3881,6,2656,565742.5,3,1,1,311,0
995,4161,5,1023,154630.87,2,2,1,221,0
996,4110,0,913,128133.72,1,2,2,122,0
997,5841,3,444,35848.18,1,3,3,133,0
998,5718,6,277,43284.2,3,3,3,333,0
999,4915,21,324,58975.24,4,3,2,432,0
1000,5837,5,237,32570.9,2,4,3,243,0
1001,5795,0,213,34763.54,1,4,3,143,0
1002,6034,5,276,39744.63,2,3,3,233,0
1003,4602,31,748,95408.2,4,2,2,422,0
1004,6040,6,617,78575.07,3,2,2,322,0
1005,5720,13,282,53237.35,4,3,3,433,0
1006,5388,0,458,63696.25,1,3,2,132,0
1007,10065,0,267,100564.78,1,3,2,132,0
1008,4493,7,348,49353.15,3,3,3,333,0
1009,5978,5,146,19564.85,2,4,4,244,0
1010,4689,40,96,12049.9,4,4,4,444,0
1011,4311,3,926,169553.39,1,2,1,121,0
1012,4754,41,88,16654.92,4,4,4,444,0
1013,5766,0,514,51884.58,1,3,3,133,0
1014,5819,0,73,13155.52,1,4,4,144,0
1015,4810,12,1101,55681.55,4,2,3,423,0
1016,3769,4,2846,528246.77,2,1,1,211,0
1017,5821,3,287,42718.35,1,3,3,133,0
1018,5754,10,284,52903.6,3,3,3,333,0
1019,5300,10,194,32852.4,3,4,3,343,0
1020,6044,14,338,39883.98,4,3,3,433,0
1021,5276,3,178,26813.5,1,4,4,144,0
1022,3907,0,1195,47106.73,1,2,3,123,0
1023,4858,24,128,9644.96,4,4,4,444,0
1024,4745,21,147,26579.22,4,4,4,444,0
1025,2686,4,236,28534.84,2,4,4,244,0
1026,10035,0,703,35035.44,1,2,3,123,0
1027,3763,6,500,55165.37,3,3,3,333,0
1028,4427,27,666,26683.97,4,2,4,424,0
1029,2629,5,8522,1505955.63,2,1,1,211,3
1030,3899,5,3143,573674.88,2,1,1,211,0
1031,2507,3,1395,210947.76,1,1,1,111,0
1032,3880,11,599,109354.26,3,2,2,322,0
1033,5200,12,201,28048.32,4,4,4,444,0
1034,4533,0,268,49366.44,1,3,3,133,0
1035,5888,0,974,78506.52,1,2,2,122,0
1036,5940,12,408,29888.86,4,3,4,434,0
1037,3901,3,361,80552.86,1,3,2,132,0
1038,4622,3,1613,77032.29,1,1,2,112,0
1039,6055,10,335,36546.47,3,3,3,333,0
1040,2584,5,2483,220255.08,2,1,1,211,0
1041,2636,4,3271,603368.06,2,1,1,211,0
1042,2658,3,975,143949.34,1,2,2,122,0
1043,5708,0,1071,127667.7,1,2,2,122,0
1044,5914,6,570,83363.68,3,2,2,322,0
1045,5552,4,365,56644.03,2,3,2,232,0
1046,5781,0,434,50847.67,1,3,3,133,0
1047,5691,6,1055,357588.99,3,2,1,321,0
1048,5991,24,156,15430.26,4,4,4,444,0
1049,3456,4,5321,575466.4,2,1,1,211,3
1050,2233,5,1507,201354.78,2,1,1,211,0
1051,6026,19,260,25624.03,4,4,4,444,0
1052,5216,3,236,34325.32,1,4,3,143,0
1053,5794,0,374,42611.95,1,3,3,133,0
1054,5737,3,321,66161.27,1,3,2,132,0
1055,2600,5,1048,175146.62,2,2,1,221,0
1056,3943,4,2169,129877.87,2,1,2,212,0
1057,5333,3,1260,134035.05,1,1,2,112,0
1058,6072,0,1185,157488.89,1,2,1,121,0
1059,5618,7,836,62405.76,3,2,2,322,0
