City,Bottle Size,Avg Growth Rate
LAMONI,m,0.18142822609052311
AVOCA,m,0.18131656195771514
ELY,s,0.18130316988744155
ROCK VALLEY,m,0.18101964324713407
AKRON,m,0.18099722444226396
NEOLA,m,0.17866547525552426
COLUMBUS JUNCTION,m,0.17818033906141842
MARCUS,l,0.17799584122682133
ST CHARLES,s,0.17736253697274185
TRIPOLI,m,0.17704999419329828
CLIVE,s,0.17669481819388314
BELLE PLAINE,s,0.1761472556428896
MELBOURNE,l,0.17611638834449528
SERGEANT BLUFF,m,0.17546889345517877
ANTHON,s,0.17536583130226693
GRIMES,l,0.17536391337178925
ARNOLDS PARK,s,0.17482439679467754
MOUNT AYR,l,0.1748140798942767
EXIRA,l,0.1743064470686355
PELLA,m,0.17372367599823155
OSKALOOSA,m,0.17343783986459096
STANTON,s,0.17332190551717205
SIBLEY,m,0.1728593626960263
STRATFORD,m,0.17282003622725794
FREMONT,s,0.1726060074872054
